Shaking effect,Line,Tet,Sex,Days post eclosion,Fluorescence
1,OP/IE2,0,Male,3,Green+Red
1,OP/IE2,0,Male,3,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,4,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,5,Green+Red
1,OP/IE2,0,Male,6,Green+Red
1,OP/IE2,0,Male,6,Green+Red
1,OP/IE2,0,Male,6,Green+Red
1,OP/IE2,0,Male,6,Green+Red
1,OP/IE2,0,Male,7,Green+Red
1,OP/IE2,0,Male,7,Green+Red
1,OP/IE2,0,Female,3,Green+Red
1,OP/IE2,0,Female,3,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,4,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,5,Green+Red
1,OP/IE2,0,Female,6,Green+Red
1,OP/IE2,0,Female,6,Green+Red
1,OP/IE2,0,Female,7,Green+Red
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
0,OP/IE2,0,NA,8,Green
