Line,Treatment,Transgenes,Pupae,Adult,Dead_pupae,Shaking
OP/IE2,off-tet,Green,131,131,0,0
OP/IE2,off-tet,Red,133,128,5,0
OP/IE2,off-tet,Green+Red,132,130,2,69
OP/IE2,off-tet,None,135,133,2,0
OP/IE2,on-tet,Green,152,143,9,0
OP/IE2,on-tet,Red,157,155,2,0
OP/IE2,on-tet,Green+Red,138,134,4,0
OP/IE2,on-tet,None,122,122,0,0
HR5/IE1,off-tet,Green,244,228,16,0
HR5/IE1,off-tet,Red,288,274,14,0
HR5/IE1,off-tet,Green+Red,266,243,23,182
HR5/IE1,off-tet,None,268,231,37,0
HR5/IE1,on-tet,Green,152,143,9,0
HR5/IE1,on-tet,Red,118,115,3,0
HR5/IE1,on-tet,Green+Red,135,119,16,0
HR5/IE1,on-tet,None,115,109,6,0
