Treatment,Eggs.laid,Eggs.unhatched,prop.unhatched
on-tet,124,1,0.008064516
on-tet,119,1,0.008403361
on-tet,139,2,0.014388489
on-tet,152,1,0.006578947
on-tet,111,10,0.09009009
on-tet,33,17,0.515151515
on-tet,162,6,0.037037037
on-tet,151,5,0.033112583
on-tet,119,6,0.050420168
on-tet,166,4,0.024096386
on-tet,92,6,0.065217391
on-tet,125,9,0.072
on-tet,115,0,0
on-tet,11,12,1.090909091
on-tet,103,3,0.029126214
on-tet,147,9,0.06122449
on-tet,183,10,0.054644809
on-tet,146,16,0.109589041
on-tet,83,6,0.072289157
on-tet,150,6,0.04
on-tet,138,4,0.028985507
on-tet,146,9,0.061643836
on-tet,134,8,0.059701493
on-tet,46,2,0.043478261
on-tet,92,4,0.043478261
on-tet,128,7,0.0546875
on-tet,118,8,0.06779661
on-tet,132,5,0.037878788
on-tet,95,8,0.084210526
on-tet,88,7,0.079545455
off-tet,10,0,0
off-tet,4,4,1
off-tet,0,0,1
off-tet,11,4,0.363636364
off-tet,64,12,0.1875
off-tet,39,2,0.051282051
off-tet,11,11,1
off-tet,76,10,0.131578947
off-tet,86,1,0.011627907
off-tet,64,1,0.015625
off-tet,76,7,0.092105263
off-tet,49,48,0.979591837
off-tet,7,2,0.285714286
off-tet,10,10,1
off-tet,84,9,0.107142857
off-tet,0,0,1
off-tet,81,3,0.037037037
off-tet,11,0,0
off-tet,7,6,0.857142857
off-tet,51,9,0.176470588
off-tet,22,3,0.136363636
off-tet,38,38,1
off-tet,18,18,1
off-tet,6,0,0
off-tet,0,0,1
off-tet,22,0,0
